前走競馬場,前走芝ダ,前走距離数値,前3角位置カテゴリ,件数,勝利数,複勝数,単勝払戻合計,複勝払戻合計,勝率,複勝率,単回収率,複回収率
中京,ダ,1200,1番手,49,7,11,3270.0,4600.0,14.29,22.45,66.73,93.88
中京,ダ,1200,2-3番手,149,13,42,22240.0,15070.0,8.72,28.19,149.26,101.14
中京,ダ,1200,4-6番手,110,12,28,22090.0,7850.0,10.91,25.45,200.82,71.36
中京,ダ,1200,7-10番手,262,10,48,10920.0,20900.0,3.82,18.32,41.68,79.77
中京,ダ,1200,11番手以下,85,1,6,370.0,2420.0,1.18,7.06,4.35,28.47
中京,ダ,1400,1番手,57,6,16,3440.0,4790.0,10.53,28.07,60.35,84.04
中京,ダ,1400,2-3番手,210,30,71,21380.0,24320.0,14.29,33.81,101.81,115.81
中京,ダ,1400,4-6番手,163,13,37,6700.0,12050.0,7.98,22.7,41.1,73.93
中京,ダ,1400,7-10番手,305,19,61,29570.0,25320.0,6.23,20.0,96.95,83.02
中京,ダ,1400,11番手以下,127,1,13,220.0,7510.0,0.79,10.24,1.73,59.13
中京,ダ,1800,1番手,88,7,19,4460.0,4820.0,7.95,21.59,50.68,54.77
中京,ダ,1800,2-3番手,199,24,53,13530.0,12330.0,12.06,26.63,67.99,61.96
中京,ダ,1800,4-6番手,206,21,50,12030.0,12820.0,10.19,24.27,58.4,62.23
中京,ダ,1800,7-10番手,359,17,79,16210.0,29880.0,4.74,22.01,45.15,83.23
中京,ダ,1800,11番手以下,128,8,18,17320.0,10480.0,6.25,14.06,135.31,81.88
中京,ダ,1900,1番手,39,3,14,2050.0,3680.0,7.69,35.9,52.56,94.36
中京,ダ,1900,2-3番手,97,5,24,10700.0,9480.0,5.15,24.74,110.31,97.73
中京,ダ,1900,4-6番手,82,8,21,5680.0,5080.0,9.76,25.61,69.27,61.95
中京,ダ,1900,7-10番手,160,7,32,5880.0,14140.0,4.38,20.0,36.75,88.38
中京,ダ,1900,11番手以下,55,1,6,3150.0,2450.0,1.82,10.91,57.27,44.55
中京,芝,1200,1番手,34,8,14,7100.0,3910.0,23.53,41.18,208.82,115.0
中京,芝,1200,2-3番手,83,9,19,7280.0,5290.0,10.84,22.89,87.71,63.73
中京,芝,1200,4-6番手,105,12,27,12260.0,7810.0,11.43,25.71,116.76,74.38
中京,芝,1200,7-10番手,173,11,39,17500.0,12920.0,6.36,22.54,101.16,74.68
